trip_id,pattern_id
76OAK10SUN,Coliseum - Oakland Int'l Airport_0_1
09DC11,Fremont - Daly City_1_1
09DC10,Fremont - Daly City_0_2
29DCM21SAT,Dublin/Pleasanton - Daly City_1_5
170OAK11SAT,Coliseum - Oakland Int'l Airport_1_2
151OAK11SUN,Coliseum - Oakland Int'l Airport_1_2
66OAK11,Coliseum - Oakland Int'l Airport_1_2
66OAK10,Coliseum - Oakland Int'l Airport_0_1
16DCM20SUN,Dublin/Pleasanton - Daly City_0_2
74SFO11,Pittsburg/Bay Point - SFIA/Millbrae_1_16
12SFO11SUN,Pittsburg/Bay Point - SFIA/Millbrae_1_13
51OAK11SAT,Coliseum - Oakland Int'l Airport_1_2
57DCM10,Richmond - Daly City/Millbrae_0_2
57DCM11,Richmond - Daly City/Millbrae_1_4
22R11SUN,Fremont - Richmond_1_2
167OAK10SAT,Coliseum - Oakland Int'l Airport_0_1
118OAK10SAT,Coliseum - Oakland Int'l Airport_0_1
74OAK10SUN,Coliseum - Oakland Int'l Airport_0_1
112OAK11SAT,Coliseum - Oakland Int'l Airport_1_2
37DCM21SAT,Dublin/Pleasanton - Daly City_1_5
109OAK11SAT,Coliseum - Oakland Int'l Airport_1_2
10DCM20SAT,Dublin/Pleasanton - Daly City_0_2
22OAK11SAT,Coliseum - Oakland Int'l Airport_1_2
73OAK11SUN,Coliseum - Oakland Int'l Airport_1_2
57OAK10SUN,Coliseum - Oakland Int'l Airport_0_1
148OAK11SAT,Coliseum - Oakland Int'l Airport_1_2
21R10SUN,Fremont - Richmond_0_3
178OAK11,Coliseum - Oakland Int'l Airport_1_2
42OAK11SAT,Coliseum - Oakland Int'l Airport_1_2
32OAK10SUN,Coliseum - Oakland Int'l Airport_0_1
142OAK11,Coliseum - Oakland Int'l Airport_1_2
142OAK10,Coliseum - Oakland Int'l Airport_0_1
10R11,Fremont - Richmond_1_2
10R10,Fremont - Richmond_0_3
133OAK11,Coliseum - Oakland Int'l Airport_1_2
133OAK10,Coliseum - Oakland Int'l Airport_0_1
50DCM20,Dublin/Pleasanton - Daly City_0_2
46OAK10SAT,Coliseum - Oakland Int'l Airport_0_1
157OAK11,Coliseum - Oakland Int'l Airport_1_2
98OAK10,Coliseum - Oakland Int'l Airport_0_1
72OAK10SUN,Coliseum - Oakland Int'l Airport_0_1
02DCM20SUN,Dublin/Pleasanton - Daly City_0_2
150OAK11SAT,Coliseum - Oakland Int'l Airport_1_2
126OAK10SUN,Coliseum - Oakland Int'l Airport_0_1
60OAK11SUN,Coliseum - Oakland Int'l Airport_1_2
39DCM10,Richmond - Daly City/Millbrae_0_2
39DCM11,Richmond - Daly City/Millbrae_1_4
20R11SAT,Fremont - Richmond_1_2
30R10SUN,Fremont - Richmond_0_3
123OAK11,Coliseum - Oakland Int'l Airport_1_2
43SFO10SUN,Pittsburg/Bay Point - SFIA/Millbrae_0_7
27SFO10SAT,Pittsburg/Bay Point - SFIA/Millbrae_0_7
59OAK10SUN,Coliseum - Oakland Int'l Airport_0_1
16DCM10SAT,Richmond - Daly City/Millbrae_0_2
05DC11SAT,Fremont - Daly City_1_1
37SFO10SAT,Pittsburg/Bay Point - SFIA/Millbrae_0_7
78OAK10SAT,Coliseum - Oakland Int'l Airport_0_1
33OAK10SAT,Coliseum - Oakland Int'l Airport_0_1
04DCM11,Richmond - Daly City/Millbrae_1_4
19R10SAT,Fremont - Richmond_0_3
04OAK11,Coliseum - Oakland Int'l Airport_1_2
16DCM11SAT,Richmond - Daly City/Millbrae_1_4
42OAK11,Coliseum - Oakland Int'l Airport_1_2
07R11SAT,Fremont - Richmond_1_2
130OAK10,Coliseum - Oakland Int'l Airport_0_1
130OAK11,Coliseum - Oakland Int'l Airport_1_2
40OAK11,Coliseum - Oakland Int'l Airport_1_2
13SFO10SUN,Pittsburg/Bay Point - SFIA/Millbrae_0_4
49OAK11SUN,Coliseum - Oakland Int'l Airport_1_2
27R10SUN,Fremont - Richmond_0_3
07R11,Fremont - Richmond_1_2
07R10,Fremont - Richmond_0_3
135OAK11SAT,Coliseum - Oakland Int'l Airport_1_2
09DC10SAT,Fremont - Daly City_0_2
47R11SUN,Fremont - Richmond_1_2
09R10SAT,Fremont - Richmond_0_3
26R10SUN,Fremont - Richmond_0_3
32DC11,Fremont - Daly City_1_1
02DCM21SAT,Dublin/Pleasanton - Daly City_1_5
18DCM21SAT,Dublin/Pleasanton - Daly City_1_5
09OAK11SAT,Coliseum - Oakland Int'l Airport_1_2
12R11,Fremont - Richmond_1_2
12R10,Fremont - Richmond_0_3
23DCM21SUN,Dublin/Pleasanton - Daly City_1_5
21DCM20SUN,Dublin/Pleasanton - Daly City_0_2
102OAK10SUN,Coliseum - Oakland Int'l Airport_0_1
156OAK10SAT,Coliseum - Oakland Int'l Airport_0_1
143OAK10SAT,Coliseum - Oakland Int'l Airport_0_1
58OAK11,Coliseum - Oakland Int'l Airport_1_2
05SFO10SUN,Pittsburg/Bay Point - SFIA/Millbrae_0_3
76OAK10,Coliseum - Oakland Int'l Airport_0_1
76OAK11,Coliseum - Oakland Int'l Airport_1_2
79OAK11,Coliseum - Oakland Int'l Airport_1_2
79OAK10,Coliseum - Oakland Int'l Airport_0_1
137OAK10SAT,Coliseum - Oakland Int'l Airport_0_1
08DCM10SAT,Richmond - Daly City/Millbrae_0_2
48DCM21SUN,Dublin/Pleasanton - Daly City_1_5
06DC10,Fremont - Daly City_0_2
06DC11,Fremont - Daly City_1_1
93OAK11SAT,Coliseum - Oakland Int'l Airport_1_2
13OAK10SAT,Coliseum - Oakland Int'l Airport_0_1
64OAK10SUN,Coliseum - Oakland Int'l Airport_0_1
31R10SUN,Fremont - Richmond_0_3
43SFO11,Pittsburg/Bay Point - SFIA/Millbrae_1_13
43SFO10,Pittsburg/Bay Point - SFIA/Millbrae_0_7
131OAK11SAT,Coliseum - Oakland Int'l Airport_1_2
25DC10SAT,Fremont - Daly City_0_2
51DC10,Fremont - Daly City_0_2
51DC11,Fremont - Daly City_1_1
133OAK11SUN,Coliseum - Oakland Int'l Airport_1_2
07SFO11,Pittsburg/Bay Point - SFIA/Millbrae_1_12
07SFO10,Pittsburg/Bay Point - SFIA/Millbrae_0_3
24R10SAT,Fremont - Richmond_0_3
16R11SUN,Fremont - Richmond_1_2
69OAK11SUN,Coliseum - Oakland Int'l Airport_1_2
162OAK11,Coliseum - Oakland Int'l Airport_1_2
162OAK10,Coliseum - Oakland Int'l Airport_0_1
34OAK11SAT,Coliseum - Oakland Int'l Airport_1_2
86OAK11SUN,Coliseum - Oakland Int'l Airport_1_2
19SFO10,Pittsburg/Bay Point - SFIA/Millbrae_0_6
19SFO11,Pittsburg/Bay Point - SFIA/Millbrae_1_13
44OAK11SAT,Coliseum - Oakland Int'l Airport_1_2
37R10,Fremont - Richmond_0_3
37R11,Fremont - Richmond_1_2
08DCM21SUN,Dublin/Pleasanton - Daly City_1_5
33R10,Fremont - Richmond_0_3
30R11SUN,Fremont - Richmond_1_2
69OAK11SAT,Coliseum - Oakland Int'l Airport_1_2
08OAK11SUN,Coliseum - Oakland Int'l Airport_1_2
