,agency_id,dist,heading,length,pattern_id,point_id,route_dir,route_short_name,shape_id,shape_pt_sequence,trip_id
79,8.0,1.41012509443,174.97184352489865,0.0318403671009,Pittsburg/Bay Point - SFIA/Millbrae_0_1,79.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,79.0,01SFO10
80,8.0,1.43968254379,175.0075418082106,0.0295574493521,Pittsburg/Bay Point - SFIA/Millbrae_0_1,80.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,80.0,01SFO10
81,8.0,1.46358807481,175.0156064175959,0.0239055310273,Pittsburg/Bay Point - SFIA/Millbrae_0_1,81.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,81.0,01SFO10
82,8.0,1.47153884539,175.02735591211717,0.0079507705751,Pittsburg/Bay Point - SFIA/Millbrae_0_1,82.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,82.0,01SFO10
83,8.0,1.4725563694,175.74241529410926,0.00101752401324,Pittsburg/Bay Point - SFIA/Millbrae_0_1,83.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,83.0,01SFO10
84,8.0,1.47357389336,175.74242100148945,0.0010175239618,Pittsburg/Bay Point - SFIA/Millbrae_0_1,84.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,84.0,01SFO10
85,8.0,1.47424095524,174.33133251427626,0.000667061875519,Pittsburg/Bay Point - SFIA/Millbrae_0_1,85.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,85.0,01SFO10
86,8.0,1.47485403673,174.80101969937311,0.000613081490861,Pittsburg/Bay Point - SFIA/Millbrae_0_1,86.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,86.0,01SFO10
87,8.0,1.47557403188,173.86242007995997,0.000719995150035,Pittsburg/Bay Point - SFIA/Millbrae_0_1,87.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,87.0,01SFO10
88,8.0,1.47820640964,175.06226862400035,0.00263237775829,Pittsburg/Bay Point - SFIA/Millbrae_0_1,88.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,88.0,01SFO10
